disease,state,year,weeks_reporting,count,population
Measles,Alabama,1928,52,8843,2589923
Measles,Alabama,1929,49,2959,2619131
Measles,Alabama,1930,52,4156,2646248
Measles,Alabama,1931,49,8934,2670818
Measles,Alabama,1932,41,270,2693027
Measles,Alabama,1933,51,1735,2713243
Measles,Alabama,1934,52,15849,2731850
Measles,Alabama,1935,49,7214,2749249
Measles,Alabama,1936,40,570,2765853
Measles,Alabama,1937,49,620,2782085
Measles,Alabama,1938,52,13841,2798382
Measles,Alabama,1939,51,5143,2815188
Measles,Alabama,1940,48,3280,2832961
Measles,Alabama,1941,48,8634,2852063
Measles,Alabama,1942,50,3712,2872445
Measles,Alabama,1943,47,3798,2893949
Measles,Alabama,1944,47,7086,2916414
Measles,Alabama,1945,47,759,2939676
Measles,Alabama,1946,51,3691,2963562
Measles,Alabama,1947,50,3745,2987897
Measles,Alabama,1948,43,2051,3012499
Measles,Alabama,1949,49,11066,3037179
Measles,Alabama,1950,47,1556,3061743
Measles,Alabama,1951,48,3158,3086002
Measles,Alabama,1952,49,10797,3109808
Measles,Alabama,1953,48,2869,3133025
Measles,Alabama,1954,51,8451,3155509
Measles,Alabama,1955,49,2125,3177116
Measles,Alabama,1956,52,7117,3197698
Measles,Alabama,1957,51,9320,3217104
Measles,Alabama,1958,49,7664,3235182
Measles,Alabama,1959,45,3467,3251779
Measles,Alabama,1960,48,2075,3266740
Measles,Alabama,1961,48,2588,3280058
Measles,Alabama,1962,49,2379,3292317
Measles,Alabama,1963,44,1165,3304260
Measles,Alabama,1964,51,18118,3316640
Measles,Alabama,1965,52,2346,3330223
Measles,Alabama,1966,50,1813,3345787
Measles,Alabama,1967,50,1346,3364130
Measles,Alabama,1968,51,159,3386068
Measles,Alabama,1969,34,12,3412450
Measles,Alabama,1970,50,487,3444165
Measles,Alabama,1971,50,1955,3481798
Measles,Alabama,1972,50,143,3524543
Measles,Alabama,1973,29,15,3571209
Measles,Alabama,1974,40,21,3620548
Measles,Alabama,1975,41,5,3671246
Measles,Alabama,1976,0,0,3721914
Measles,Alabama,1977,39,79,3771085
Measles,Alabama,1978,44,132,3817217
Measles,Alabama,1979,49,129,3858703
Measles,Alabama,1980,46,22,3893888
Measles,Alabama,1981,22,0,3921581
Measles,Alabama,1982,11,2,3942588
Measles,Alabama,1983,27,1,3958271
Measles,Alabama,1984,3,0,3970041
Measles,Alabama,1985,0,0,3979341
Measles,Alabama,1986,16,1,3987637
Measles,Alabama,1987,17,4,3996407
Measles,Alabama,1988,7,1,4007144
Measles,Alabama,1989,51,61,4021358
Measles,Alabama,1990,39,28,4040587
Measles,Alabama,1991,10,1,4066003
Measles,Alabama,1992,0,0,4097169
Measles,Alabama,1993,30,1,4133242
Measles,Alabama,1994,0,0,4173361
Measles,Alabama,1995,0,0,4216645
Measles,Alabama,1996,0,0,4262177
Measles,Alabama,1997,1,6,4309007
Measles,Alabama,1998,17,0,4356137
Measles,Alabama,1999,0,0,4402529
Measles,Alabama,2000,0,0,4447100
Measles,Alabama,2001,0,0,4488959
Measles,Alabama,2002,5,7,4528129
Measles,Alabama,2003,0,0,4564878
Measles,Alaska,1928,0,0,NA
Measles,Alaska,1929,0,0,NA
Measles,Alaska,1930,0,0,NA
Measles,Alaska,1931,0,0,NA
Measles,Alaska,1932,0,0,NA
Measles,Alaska,1933,0,0,NA
Measles,Alaska,1934,0,0,NA
Measles,Alaska,1935,0,0,NA
Measles,Alaska,1936,0,0,NA
Measles,Alaska,1937,0,0,NA
Measles,Alaska,1938,0,0,NA
Measles,Alaska,1939,0,0,NA
Measles,Alaska,1940,0,0,NA
Measles,Alaska,1941,0,0,NA
Measles,Alaska,1942,0,0,NA
Measles,Alaska,1943,0,0,NA
Measles,Alaska,1944,0,0,NA
Measles,Alaska,1945,0,0,NA
Measles,Alaska,1946,0,0,NA
Measles,Alaska,1947,0,0,NA
Measles,Alaska,1948,0,0,NA
Measles,Alaska,1949,0,0,NA
Measles,Alaska,1950,0,0,NA
Measles,Alaska,1951,0,0,NA
Measles,Alaska,1952,0,0,NA
Measles,Alaska,1953,0,0,NA
Measles,Alaska,1954,49,1487,NA
Measles,Alaska,1955,45,537,NA
Measles,Alaska,1956,51,2511,NA
Measles,Alaska,1957,46,958,NA
Measles,Alaska,1958,46,1259,NA
Measles,Alaska,1959,48,1829,NA
Measles,Alaska,1960,41,1456,226167
Measles,Alaska,1961,46,1002,232750
Measles,Alaska,1962,51,1406,239521
Measles,Alaska,1963,45,1849,246479
Measles,Alaska,1964,46,1157,253624
Measles,Alaska,1965,52,215,260957
Measles,Alaska,1966,48,641,268476
Measles,Alaska,1967,51,148,276180
Measles,Alaska,1968,32,11,284068
Measles,Alaska,1969,48,20,292136
Measles,Alaska,1970,46,106,300382
Measles,Alaska,1971,45,63,308810
Measles,Alaska,1972,47,13,317458
Measles,Alaska,1973,28,5,326376
Measles,Alaska,1974,2,1,335621
Measles,Alaska,1975,0,0,345253
Measles,Alaska,1976,21,11,355341
Measles,Alaska,1977,44,61,365958
Measles,Alaska,1978,28,2,377187
Measles,Alaska,1979,42,18,389118
Measles,Alaska,1980,40,6,401851
Measles,Alaska,1981,0,0,415458
Measles,Alaska,1982,31,1,429850
Measles,Alaska,1983,0,0,444879
Measles,Alaska,1984,0,0,460375
Measles,Alaska,1985,0,0,476138
Measles,Alaska,1986,0,0,491942
Measles,Alaska,1987,0,0,507531
Measles,Alaska,1988,14,1,522622
Measles,Alaska,1989,17,0,536903
Measles,Alaska,1990,39,27,550043
Measles,Alaska,1991,12,1,561769
Measles,Alaska,1992,40,4,572122
Measles,Alaska,1993,0,0,581250
Measles,Alaska,1994,26,16,589317
Measles,Alaska,1995,0,0,596513
Measles,Alaska,1996,43,68,603039
Measles,Alaska,1997,1,1,609112
Measles,Alaska,1998,16,16,614959
Measles,Alaska,1999,0,0,620817
Measles,Alaska,2000,32,1,626932
Measles,Alaska,2001,0,0,633510
Measles,Alaska,2002,0,0,640570
Measles,Alaska,2003,0,0,648078
Measles,Arizona,1928,42,847,419022
Measles,Arizona,1929,35,236,427789
Measles,Arizona,1930,47,2024,435573
Measles,Arizona,1931,42,2135,442257
Measles,Arizona,1932,34,86,448031
Measles,Arizona,1933,43,1261,453180
Measles,Arizona,1934,50,1022,458009
Measles,Arizona,1935,42,586,462838
Measles,Arizona,1936,46,2328,467998
Measles,Arizona,1937,40,3793,473840
Measles,Arizona,1938,50,699,480730
Measles,Arizona,1939,51,702,489061
Measles,Arizona,1940,48,1697,499261
Measles,Arizona,1941,48,3015,511731
Measles,Arizona,1942,50,3884,526617
Measles,Arizona,1943,47,1195,544018
Measles,Arizona,1944,47,4495,564056
Measles,Arizona,1945,47,558,586878
Measles,Arizona,1946,52,3073,612654
Measles,Arizona,1947,48,1467,641579
Measles,Arizona,1948,41,4302,673875
Measles,Arizona,1949,51,3795,709787
Measles,Arizona,1950,49,2389,749587
Measles,Arizona,1951,49,10609,793493
Measles,Arizona,1952,48,3576,841392
Measles,Arizona,1953,49,4988,892999
Measles,Arizona,1954,52,4959,947905
Measles,Arizona,1955,49,10107,1005547
Measles,Arizona,1956,50,6785,1065190
Measles,Arizona,1957,51,7886,1125907
Measles,Arizona,1958,49,9845,1186566
Measles,Arizona,1959,48,9067,1245828
Measles,Arizona,1960,46,4305,1302161
Measles,Arizona,1961,50,7868,1354248
Measles,Arizona,1962,52,6350,1402293
Measles,Arizona,1963,48,8878,1447069
Measles,Arizona,1964,51,6310,1489542
Measles,Arizona,1965,52,1593,1530851
Measles,Arizona,1966,51,5438,1572291
Measles,Arizona,1967,52,1022,1615310
Measles,Arizona,1968,50,245,1661517
Measles,Arizona,1969,50,542,1712707
Measles,Arizona,1970,51,1006,1770900
Measles,Arizona,1971,51,509,1837891
Measles,Arizona,1972,50,868,1913632
Measles,Arizona,1973,47,26,1997501
Measles,Arizona,1974,46,21,2088732
Measles,Arizona,1975,45,83,2186365
Measles,Arizona,1976,47,243,2289201
Measles,Arizona,1977,46,218,2395761
Measles,Arizona,1978,44,66,2504256
Measles,Arizona,1979,46,88,2612561
Measles,Arizona,1980,48,326,2718215
Measles,Arizona,1981,37,11,2819039
Measles,Arizona,1982,20,16,2915148
Measles,Arizona,1983,0,0,3007444
Measles,Arizona,1984,0,0,3097045
Measles,Arizona,1985,40,248,3185267
Measles,Arizona,1986,42,256,3273618
Measles,Arizona,1987,40,35,3363792
Measles,Arizona,1988,2,3,3457679
Measles,Arizona,1989,51,145,3557380
Measles,Arizona,1990,45,285,3665228
Measles,Arizona,1991,47,342,3783229
Measles,Arizona,1992,18,0,3911122
Measles,Arizona,1993,22,3,4047937
Measles,Arizona,1994,20,9,4192532
Measles,Arizona,1995,47,12,4343559
Measles,Arizona,1996,36,8,4499438
Measles,Arizona,1997,36,9,4658333
Measles,Arizona,1998,9,10,4818136
Measles,Arizona,1999,30,1,4976457
Measles,Arizona,2000,0,0,5130632
Measles,Arizona,2001,14,1,5278300
Measles,Arizona,2002,0,0,5419266
Measles,Arizona,2003,0,0,5554021
Measles,Arkansas,1928,49,8899,1834261
Measles,Arkansas,1929,46,1245,1844191
Measles,Arkansas,1930,39,994,1854482
Measles,Arkansas,1931,49,849,1865216
Measles,Arkansas,1932,38,99,1876247
Measles,Arkansas,1933,52,5438,1887368
Measles,Arkansas,1934,35,7222,1898367
Measles,Arkansas,1935,42,1518,1909028
Measles,Arkansas,1936,24,107,1919130
Measles,Arkansas,1937,43,322,1928446
Measles,Arkansas,1938,52,6881,1936749
Measles,Arkansas,1939,51,2410,1943807
Measles,Arkansas,1940,48,1414,1949387
Measles,Arkansas,1941,48,5393,1953293
Measles,Arkansas,1942,50,4602,1955469
Measles,Arkansas,1943,47,2998,1955897
Measles,Arkansas,1944,47,3669,1954565
Measles,Arkansas,1945,48,1226,1951465
Measles,Arkansas,1946,51,3028,1946593
Measles,Arkansas,1947,49,2399,1939953
Measles,Arkansas,1948,43,3802,1931550
Measles,Arkansas,1949,52,12313,1921397
Measles,Arkansas,1950,50,1739,1909511
Measles,Arkansas,1951,47,7625,1896004
Measles,Arkansas,1952,47,3470,1881353
Measles,Arkansas,1953,50,12948,1866113
Measles,Arkansas,1954,51,2619,1850824
Measles,Arkansas,1955,48,2994,1836007
Measles,Arkansas,1956,51,8637,1822168
Measles,Arkansas,1957,42,1358,1809798
Measles,Arkansas,1958,42,3002,1799376
Measles,Arkansas,1959,39,816,1791377
Measles,Arkansas,1960,43,1596,1786272
Measles,Arkansas,1961,38,1684,1784456
Measles,Arkansas,1962,37,1438,1785997
Measles,Arkansas,1963,35,1453,1790896
Measles,Arkansas,1964,34,1106,1799171
Measles,Arkansas,1965,51,1195,1810863
Measles,Arkansas,1966,51,1377,1826028
Measles,Arkansas,1967,52,1269,1844745
Measles,Arkansas,1968,34,3,1867112
Measles,Arkansas,1969,45,29,1893248
Measles,Arkansas,1970,45,33,1923295
Measles,Arkansas,1971,48,442,1957252
Measles,Arkansas,1972,47,13,1994452
Measles,Arkansas,1973,47,77,2034009
Measles,Arkansas,1974,43,14,2074967
Measles,Arkansas,1975,6,2,2116289
Measles,Arkansas,1976,12,20,2156856
Measles,Arkansas,1977,46,46,2195463
Measles,Arkansas,1978,46,22,2230829
Measles,Arkansas,1979,47,11,2261613
Measles,Arkansas,1980,44,18,2286435
Measles,Arkansas,1981,28,14,2304331
Measles,Arkansas,1982,0,0,2316088
Measles,Arkansas,1983,19,1,2322996
Measles,Arkansas,1984,15,9,2326399
Measles,Arkansas,1985,0,0,2327671
Measles,Arkansas,1986,41,286,2328197
Measles,Arkansas,1987,0,0,2329366
Measles,Arkansas,1988,0,0,2332569
Measles,Arkansas,1989,15,5,2339212
Measles,Arkansas,1990,31,41,2350725
Measles,Arkansas,1991,0,0,2368201
Measles,Arkansas,1992,0,0,2391223
Measles,Arkansas,1993,0,0,2418991
Measles,Arkansas,1994,0,0,2450696
Measles,Arkansas,1995,42,2,2485501
Measles,Arkansas,1996,0,0,2522529
Measles,Arkansas,1997,1,3,2560848
Measles,Arkansas,1998,0,0,2599475
Measles,Arkansas,1999,9,4,2637361
Measles,Arkansas,2000,7,1,2673400
Measles,Arkansas,2001,0,0,2706668
Measles,Arkansas,2002,0,0,2737163
Measles,Arkansas,2003,0,0,2765142
Measles,California,1928,52,3698,5230775
Measles,California,1929,52,4024,5465979
Measles,California,1930,52,43416,5677251
Measles,California,1931,52,27807,5856343
Measles,California,1932,52,12618,6004994
Measles,California,1933,52,26551,6128552
Measles,California,1934,52,25650,6233386
Measles,California,1935,52,28799,6326636
Measles,California,1936,50,49050,6416022
Measles,California,1937,51,5107,6509758
Measles,California,1938,52,18527,6616546
Measles,California,1939,51,63748,6745701
Measles,California,1940,48,26167,6907387
Measles,California,1941,48,12624,7110629
Measles,California,1942,50,94525,7356081
Measles,California,1943,47,28929,7642242
Measles,California,1944,47,53667,7967508
Measles,California,1945,48,31721,8329968
Measles,California,1946,52,54981,8727200
Measles,California,1947,50,7372,9156064
Measles,California,1948,44,49097,9612509
Measles,California,1949,52,33161,10091374
Measles,California,1950,50,14728,10586224
Measles,California,1951,49,61055,11090473
Measles,California,1952,49,39016,11601536
Measles,California,1953,49,53771,12117830
Measles,California,1954,52,60293,12637633
Measles,California,1955,49,67434,13159085
Measles,California,1956,52,32254,13680194
Measles,California,1957,51,50403,14198842
Measles,California,1958,51,35074,14712799
Measles,California,1959,48,38951,15219729
Measles,California,1960,52,22222,15717204
Measles,California,1961,51,36853,16203004
Measles,California,1962,52,28140,16676046
Measles,California,1963,47,20028,17135662
Measles,California,1964,51,32650,17581336
Measles,California,1965,52,13864,18012709
Measles,California,1966,51,15197,18429575
Measles,California,1967,52,5260,18831882
Measles,California,1968,52,1648,19219725
Measles,California,1969,51,898,19593348
Measles,California,1970,51,1949,19953134
Measles,California,1971,51,2864,20300216
Measles,California,1972,50,3222,20638390
Measles,California,1973,50,804,20972407
Measles,California,1974,50,1103,21307362
Measles,California,1975,52,5217,21648695
Measles,California,1976,52,2324,22002198
Measles,California,1977,48,7938,22374038
Measles,California,1978,52,646,22770801
Measles,California,1979,52,974,23199549
Measles,California,1980,51,886,23667902
Measles,California,1981,48,347,24181703
Measles,California,1982,51,800,24737390
Measles,California,1983,48,156,25328529
Measles,California,1984,50,312,25948031
Measles,California,1985,49,259,26588046
Measles,California,1986,48,429,27239883
Measles,California,1987,51,774,27893955
Measles,California,1988,51,735,28539754
Measles,California,1989,49,2192,29165865
Measles,California,1990,48,9598,29760021
Measles,California,1991,48,1963,30311890
Measles,California,1992,44,61,30821629
Measles,California,1993,47,63,31292538
Measles,California,1994,45,64,31728420
Measles,California,1995,37,38,32133526
Measles,California,1996,42,45,32512506
Measles,California,1997,48,35,32870358
Measles,California,1998,31,4,33212395
Measles,California,1999,42,18,33544208
Measles,California,2000,38,15,33871648
Measles,California,2001,40,34,34199784
Measles,California,2002,33,0,34529758
Measles,California,2003,0,0,34861711
Measles,Colorado,1928,48,2099,1017341
Measles,Colorado,1929,51,748,1026769
Measles,Colorado,1930,52,11781,1035791
Measles,Colorado,1931,49,4787,1044337
Measles,Colorado,1932,49,2376,1052508
Measles,Colorado,1933,49,297,1060454
Measles,Colorado,1934,52,12946,1068328
Measles,Colorado,1935,52,12786,1076289
Measles,Colorado,1936,49,597,1084500
Measles,Colorado,1937,50,1027,1093129
Measles,Colorado,1938,52,9163,1102350
Measles,Colorado,1939,51,5886,1112343
Measles,Colorado,1940,48,2625,1123296
Measles,Colorado,1941,48,7438,1135396
Measles,Colorado,1942,50,5628,1148802
Measles,Colorado,1943,47,11266,1163673
Measles,Colorado,1944,47,6329,1180180
Measles,Colorado,1945,48,1072,1198507
Measles,Colorado,1946,52,11943,1218852
Measles,Colorado,1947,50,1769,1241433
Measles,Colorado,1948,43,9135,1266487
Measles,Colorado,1949,51,7221,1294276
Measles,Colorado,1950,50,5239,1325089
Measles,Colorado,1951,47,12385,1359143
Measles,Colorado,1952,49,5287,1396249
Measles,Colorado,1953,49,9788,1436087
Measles,Colorado,1954,52,1906,1478294
Measles,Colorado,1955,48,4902,1522459
Measles,Colorado,1956,51,14190,1568112
Measles,Colorado,1957,49,2887,1614721
Measles,Colorado,1958,49,9436,1661688
Measles,Colorado,1959,45,7037,1708343
Measles,Colorado,1960,51,6806,1753947
Measles,Colorado,1961,51,3879,1797911
Measles,Colorado,1962,52,9001,1840493
Measles,Colorado,1963,48,6298,1882216
Measles,Colorado,1964,51,3240,1923669
Measles,Colorado,1965,52,6009,1965498
Measles,Colorado,1966,51,1445,2008407
Measles,Colorado,1967,52,1635,2053164
Measles,Colorado,1968,50,499,2100603
Measles,Colorado,1969,48,139,2151635
Measles,Colorado,1970,49,240,2207259
Measles,Colorado,1971,50,894,2268242
Measles,Colorado,1972,49,522,2334054
Measles,Colorado,1973,49,166,2403738
Measles,Colorado,1974,48,158,2476210
Measles,Colorado,1975,51,1170,2550245
Measles,Colorado,1976,50,450,2624457
Measles,Colorado,1977,47,434,2697303
Measles,Colorado,1978,50,50,2767084
Measles,Colorado,1979,47,73,2831958
Measles,Colorado,1980,46,24,2889964
Measles,Colorado,1981,34,8,2939663
Measles,Colorado,1982,30,7,2982055
Measles,Colorado,1983,0,0,3018900
Measles,Colorado,1984,0,0,3052100
Measles,Colorado,1985,21,9,3083671
Measles,Colorado,1986,32,5,3115721
Measles,Colorado,1987,33,9,3150449
Measles,Colorado,1988,50,116,3190156
Measles,Colorado,1989,36,100,3237270
Measles,Colorado,1990,42,139,3294394
Measles,Colorado,1991,33,11,3363642
Measles,Colorado,1992,27,22,3444391
Measles,Colorado,1993,40,0,3535251
Measles,Colorado,1994,35,20,3634710
Measles,Colorado,1995,31,26,3741086
Measles,Colorado,1996,38,7,3852482
Measles,Colorado,1997,1,29,3966754
Measles,Colorado,1998,0,0,4081485
Measles,Colorado,1999,15,0,4193978
Measles,Colorado,2000,37,3,4301261
Measles,Colorado,2001,0,0,4400742
Measles,Colorado,2002,0,0,4492257
Measles,Colorado,2003,0,0,4576377
Measles,Connecticut,1928,52,10014,1574079
Measles,Connecticut,1929,51,9800,1591618
Measles,Connecticut,1930,51,1810,1606903
Measles,Connecticut,1931,52,12869,1619815
Measles,Connecticut,1932,52,5701,1630719
Measles,Connecticut,1933,52,5430,1640119
Measles,Connecticut,1934,52,4659,1648537
Measles,Connecticut,1935,52,24149,1656509
Measles,Connecticut,1936,50,3828,1664582
Measles,Connecticut,1937,49,10181,1673313
Measles,Connecticut,1938,52,1816,1683273
Measles,Connecticut,1939,50,15904,1695047
Measles,Connecticut,1940,48,6436,1709242
Measles,Connecticut,1941,48,6366,1726368
Measles,Connecticut,1942,50,10537,1746470
Measles,Connecticut,1943,47,9865,1769482
Measles,Connecticut,1944,47,8775,1795344
Measles,Connecticut,1945,48,3012,1823998
Measles,Connecticut,1946,52,7585,1855392
Measles,Connecticut,1947,50,16030,1889472
Measles,Connecticut,1948,44,2832,1926186
Measles,Connecticut,1949,52,19012,1965475
Measles,Connecticut,1950,51,3980,2007280
Measles,Connecticut,1951,49,4612,2051526
Measles,Connecticut,1952,49,24540,2098103
Measles,Connecticut,1953,47,2168,2146881
Measles,Connecticut,1954,52,5026,2197715
Measles,Connecticut,1955,44,28902,2250442
Measles,Connecticut,1956,51,2697,2304877
Measles,Connecticut,1957,51,9672,2360815
Measles,Connecticut,1958,50,15792,2418028
Measles,Connecticut,1959,48,13030,2476261
Measles,Connecticut,1960,51,11057,2535234
Measles,Connecticut,1961,50,6768,2594594
Measles,Connecticut,1962,51,17790,2653773
Measles,Connecticut,1963,48,5859,2712110
Measles,Connecticut,1964,50,5289,2768892
Measles,Connecticut,1965,52,9222,2823356
Measles,Connecticut,1966,51,944,2874698
Measles,Connecticut,1967,51,106,2922078
Measles,Connecticut,1968,51,707,2964628
Measles,Connecticut,1969,51,642,3001466
Measles,Connecticut,1970,51,116,3031709
Measles,Connecticut,1971,49,1194,3054792
Measles,Connecticut,1972,50,1536,3071418
Measles,Connecticut,1973,51,1819,3082659
Measles,Connecticut,1974,47,174,3089639
Measles,Connecticut,1975,50,129,3093513
Measles,Connecticut,1976,51,237,3095453
Measles,Connecticut,1977,49,774,3096643
Measles,Connecticut,1978,48,528,3098267
Measles,Connecticut,1979,31,4,3101513
Measles,Connecticut,1980,46,27,3107576
Measles,Connecticut,1981,43,9,3117363
Measles,Connecticut,1982,43,8,3130581
Measles,Connecticut,1983,6,0,3146641
Measles,Connecticut,1984,35,10,3164947
Measles,Connecticut,1985,32,6,3184895
Measles,Connecticut,1986,29,9,3205868
Measles,Connecticut,1987,39,22,3227234
Measles,Connecticut,1988,32,17,3248344
Measles,Connecticut,1989,43,215,3268532
Measles,Connecticut,1990,42,188,3287116
Measles,Connecticut,1991,38,23,3303573
Measles,Connecticut,1992,11,2,3318064
Measles,Connecticut,1993,44,6,3330930
Measles,Connecticut,1994,38,4,3342519
Measles,Connecticut,1995,13,1,3353188
Measles,Connecticut,1996,42,1,3363299
Measles,Connecticut,1997,27,0,3373219
Measles,Connecticut,1998,0,0,3383318
Measles,Connecticut,1999,31,0,3393974
Measles,Connecticut,2000,0,0,3405565
Measles,Connecticut,2001,25,0,3418395
Measles,Connecticut,2002,0,0,3432433
Measles,Connecticut,2003,0,0,3447563
Measles,Delaware,1928,41,597,234814
Measles,Delaware,1929,38,566,236508
Measles,Delaware,1930,40,261,238380
Measles,Delaware,1931,41,2428,240462
Measles,Delaware,1932,26,39,242750
Measles,Delaware,1933,37,205,245227
Measles,Delaware,1934,42,3063,247879
Measles,Delaware,1935,48,1040,250689
Measles,Delaware,1936,44,1407,253641
Measles,Delaware,1937,36,1796,256717
Measles,Delaware,1938,42,608,259900
Measles,Delaware,1939,42,252,263169
Measles,Delaware,1940,48,101,266505
Measles,Delaware,1941,48,3489,269904
Measles,Delaware,1942,50,253,273432
Measles,Delaware,1943,47,1593,277176
Measles,Delaware,1944,47,396,281229
Measles,Delaware,1945,50,279,285687
Measles,Delaware,1946,39,596,290658
Measles,Delaware,1947,33,61,296252
Measles,Delaware,1948,37,1040,302595
Measles,Delaware,1949,50,741,309821
Measles,Delaware,1950,44,625,318085
Measles,Delaware,1951,38,690,327511
Measles,Delaware,1952,35,410,338054
Measles,Delaware,1953,41,407,349613
Measles,Delaware,1954,43,1942,362073
Measles,Delaware,1955,35,105,375297
Measles,Delaware,1956,45,866,389127
Measles,Delaware,1957,44,333,403375
Measles,Delaware,1958,46,515,417824
Measles,Delaware,1959,47,616,432223
Measles,Delaware,1960,49,956,446292
Measles,Delaware,1961,40,1698,459766
Measles,Delaware,1962,49,607,472560
Measles,Delaware,1963,40,1201,484642
Measles,Delaware,1964,37,394,495986
Measles,Delaware,1965,52,519,506576
Measles,Delaware,1966,50,264,516402
Measles,Delaware,1967,49,56,525460
Measles,Delaware,1968,44,24,533755
Measles,Delaware,1969,48,506,541297
Measles,Delaware,1970,51,268,548104
Measles,Delaware,1971,49,42,554209
Measles,Delaware,1972,45,56,559693
Measles,Delaware,1973,46,10,564659
Measles,Delaware,1974,45,16,569211
Measles,Delaware,1975,39,35,573460
Measles,Delaware,1976,50,111,577523
Measles,Delaware,1977,42,7,581518
Measles,Delaware,1978,50,11,585568
Measles,Delaware,1979,32,1,589798
Measles,Delaware,1980,44,4,594338
Measles,Delaware,1981,0,0,599301
Measles,Delaware,1982,0,0,604720
Measles,Delaware,1983,0,0,610606
Measles,Delaware,1984,0,0,616972
Measles,Delaware,1985,0,0,623834
Measles,Delaware,1986,34,1,631207
Measles,Delaware,1987,31,20,639107
Measles,Delaware,1988,0,0,647554
Measles,Delaware,1989,32,36,656568
Measles,Delaware,1990,41,9,666168
Measles,Delaware,1991,42,19,676364
